N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
190,LG상사,"27,200",750,+2.84%,"5,000","10,543","38,760",21.90,"893,375",7.41,2.49,
191,SK가스,"113,500","8,000",+7.58%,"5,000","10,476","9,230",9.17,"180,910",2.66,9.85,
192,파미셀,"17,400",50,-0.29%,500,"10,433","59,959",7.71,"1,254,623",151.30,8.78,
193,롯데관광개발,"15,050",150,-0.99%,500,"10,426","69,276",5.12,"713,514",-22.10,-4.77,
194,다우기술,"23,050",250,+1.10%,500,"10,342","44,867",22.58,"374,249",3.71,14.62,
195,티와이홀딩스,"27,200",300,+1.12%,500,"10,200","37,501",7.49,"420,872",N/A,N/A,
196,GKL,"16,200",50,-0.31%,500,"10,021","61,856",5.95,"429,933",-75.35,12.62,
197,코스맥스,"97,800",700,-0.71%,500,"9,828","10,050",24.60,"99,182",24.21,10.45,
198,보령제약,"20,500",600,+3.02%,500,"9,762","47,620",7.66,"1,847,514",36.74,11.96,
199,롯데칠성,"108,500",500,+0.46%,500,"9,738","8,975",10.90,"69,446",-11.13,-11.68,
200,효성티앤씨,"224,000","14,000",+6.67%,"5,000","9,694","4,328",17.99,"96,527",11.37,20.86,
